,Car_No,Commodity
13,FURX855155,CANOLA MEAL
14,TILX636760,CANOLA MEAL
64,ADMX560137,CANOLA MEAL PEL
65,ADMX560079,CANOLA MEAL PEL
66,GBRX712984,CANOLA MEAL PEL
67,SOXX532089,CANOLA MEAL PEL
68,TILX540234,CANOLA MEAL PEL
69,AOKX600692,CANOLA MEAL PEL
70,CBFX354082,CANOLA MEAL PEL
71,ADMX52571,CANOLA MEAL PEL
72,AOKX854315,CANOLA MEAL PEL
76,CEFX70854,CANOLA MEAL PEL
77,CEFX71030,CANOLA MEAL PEL
80,CITX222094,CANOLA MEAL PEL
81,FURX847203,CANOLA MEAL PEL
82,GCCX42012,CANOLA MEAL PEL
83,NRLX6012,CANOLA MEAL PEL
84,SHPX454910,CANOLA MEAL PEL
85,SHPX454934,CANOLA MEAL PEL
86,TILX55428,CANOLA MEAL PEL
87,TILX55491,CANOLA MEAL PEL
88,AEX9039,CANOLA MEAL PEL
89,CEFX10518,CANOLA MEAL PEL
90,GACX14705,CANOLA MEAL PEL
94,BNSF429803,"CK/ML,RAPE SEED"
95,BNSF470922,"CK/ML,RAPE SEED"
96,BNSF497972,"CK/ML,RAPE SEED"
97,CGAX10072,"CK/ML,RAPE SEED"
98,MWCX463635,"CK/ML,RAPE SEED"
99,NDYX826110,"CK/ML,RAPE SEED"
100,TILX570086,"CK/ML,RAPE SEED"
132,NDYX842260,CANOLA MEAL PEL
133,NDYX842432,CANOLA MEAL PEL
134,TRGX855921,CANOLA MEAL PEL
135,CRDX15065,CANOLA MEAL
